                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.76318,                0.78326,                 1.1601,                0.91928,                0.64047,                0.75778,                0.52687,                 1.0903,                 1.3112,                 1.4476,               0.004159,               0.004159,               0.004159
                     61,                0.73411,                0.75804,                 1.1513,                0.92066,                0.68544,                0.76794,                0.55983,                 1.0617,                 1.2769,                 1.4377,                0.00406,                0.00406,                0.00406
                     62,                0.71638,                0.78929,                 1.1398,                0.93963,                0.68073,                 0.7438,                0.53343,                 1.0785,                  1.326,                  1.474,               0.003961,               0.003961,               0.003961
                     63,                0.76754,                0.83739,                 1.1664,                0.87594,                0.73816,                0.81254,                0.59053,                 0.9945,                 1.0888,                 1.3886,               0.003862,               0.003862,               0.003862
                     64,                0.72763,                0.76111,                 1.1344,                    0.9,                0.69143,                0.79912,                0.58093,                 1.0263,                 1.1498,                 1.4082,               0.003763,               0.003763,               0.003763
                     65,                0.74387,                0.74373,                  1.129,                0.84526,                0.68403,                0.76153,                0.53439,                 1.1275,                 1.2537,                 1.4595,               0.003664,               0.003664,               0.003664
                     66,                0.66324,                0.69543,                 1.0917,                0.83559,                0.70225,                0.76172,                0.54923,                 1.0803,                 1.2947,                 1.4105,               0.003565,               0.003565,               0.003565
                     67,                0.70525,                0.72909,                 1.1359,                0.83647,                0.73429,                0.81675,                0.60328,                0.94972,                 1.1242,                  1.345,               0.003466,               0.003466,               0.003466
                     68,                0.68505,                0.73207,                 1.1336,                0.85644,                0.73428,                0.83342,                0.62284,                 0.9308,                 1.0443,                 1.3226,               0.003367,               0.003367,               0.003367
                     69,                0.68312,                0.68436,                 1.1074,                0.83622,                0.71778,                 0.8071,                0.61161,                0.99097,                 1.0932,                 1.3697,               0.003268,               0.003268,               0.003268
                     70,                0.69138,                0.70934,                 1.0896,                0.86971,                0.74969,                 0.8204,                0.62705,                0.94764,                 1.0203,                 1.3508,               0.003169,               0.003169,               0.003169
                     71,                 0.6736,                0.69639,                  1.111,                0.83883,                0.75364,                 0.8036,                0.59052,                0.97238,                 1.0719,                 1.3521,                0.00307,                0.00307,                0.00307
                     72,                0.65896,                0.69118,                 1.0951,                  0.881,                 0.7113,                0.80858,                0.58558,                0.94566,                 1.0594,                 1.3317,               0.002971,               0.002971,               0.002971
                     73,                0.68441,                0.72239,                 1.1131,                 0.8507,                0.70811,                0.80337,                0.59522,                0.93152,                 1.1028,                 1.3295,               0.002872,               0.002872,               0.002872
                     74,                0.67594,                0.70011,                 1.1176,                 0.8193,                0.71161,                0.78481,                0.58426,                 1.0483,                 1.1663,                  1.421,               0.002773,               0.002773,               0.002773
                     75,                0.64773,                0.67248,                 1.1014,                0.77973,                0.72831,                0.78284,                0.57733,                 1.0484,                 1.1704,                 1.4186,               0.002674,               0.002674,               0.002674
                     76,                0.63058,                0.65978,                 1.0785,                0.88957,                0.68941,                0.78495,                0.57719,                 1.0146,                 1.1695,                  1.419,               0.002575,               0.002575,               0.002575
                     77,                0.64439,                0.65849,                 1.0899,                0.75514,                0.71182,                0.75001,                0.55753,                 1.0501,                 1.2353,                 1.4097,               0.002476,               0.002476,               0.002476
                     78,                0.64743,                0.63813,                  1.089,                0.84399,                0.70955,                0.78698,                0.57497,                0.98706,                 1.1212,                 1.3734,               0.002377,               0.002377,               0.002377
                     79,                0.64425,                  0.671,                  1.091,                0.85465,                0.74748,                0.81361,                0.59083,                0.96241,                 1.0814,                 1.3517,               0.002278,               0.002278,               0.002278
                     80,                0.65642,                0.62996,                 1.0817,                0.85073,                0.73301,                0.81337,                0.60062,                0.95805,                 1.0943,                 1.3386,               0.002179,               0.002179,               0.002179
                     81,                0.61515,                0.59943,                 1.0605,                0.86644,                0.72087,                0.81823,                0.60964,                0.91572,                   1.05,                 1.3227,                0.00208,                0.00208,                0.00208
                     82,                0.63533,                0.62998,                 1.0876,                0.92286,                0.68107,                0.78693,                 0.5808,                0.99685,                 1.1508,                 1.3834,               0.001981,               0.001981,               0.001981
                     83,                0.62034,                0.64547,                 1.0774,                0.84299,                0.71772,                0.79046,                0.58567,                0.96651,                 1.0975,                  1.337,               0.001882,               0.001882,               0.001882
                     84,                0.61306,                0.62451,                 1.0757,                0.81501,                0.72825,                0.78866,                0.57417,                0.98412,                 1.0853,                 1.3617,               0.001783,               0.001783,               0.001783
                     85,                 0.6184,                0.60779,                 1.0759,                0.84666,                0.73512,                 0.8128,                0.59621,                0.93283,                 1.0597,                 1.3369,               0.001684,               0.001684,               0.001684
                     86,                0.59437,                0.60236,                 1.0592,                0.84356,                0.71256,                0.81424,                0.59394,                0.99057,                 1.1132,                 1.3828,               0.001585,               0.001585,               0.001585
                     87,                0.60443,                0.61203,                  1.067,                 0.8551,                0.72508,                 0.8291,                0.59972,                0.96621,                 1.0585,                 1.3515,               0.001486,               0.001486,               0.001486
                     88,                0.58881,                0.61499,                 1.0667,                0.83428,                 0.7311,                0.81357,                0.59344,                0.99731,                 1.0904,                 1.3783,               0.001387,               0.001387,               0.001387
                     89,                0.63571,                0.64649,                 1.0861,                 0.8485,                0.74258,                0.82987,                0.60525,                0.92352,                 1.0257,                 1.3235,               0.001288,               0.001288,               0.001288
                     90,                0.52973,                 0.6138,                 1.0485,                0.86946,                0.73218,                0.81943,                0.58459,                0.99432,                 1.0886,                 1.3475,               0.001189,               0.001189,               0.001189
                     91,                0.51747,                0.59921,                 1.0464,                 0.8158,                0.76009,                0.81499,                0.58004,                 0.9924,                 1.0848,                 1.3614,                0.00109,                0.00109,                0.00109
                     92,                0.46337,                0.51657,                0.99799,                0.83615,                0.74794,                0.81765,                0.59391,                0.95271,                 1.0232,                 1.3538,               0.000991,               0.000991,               0.000991
                     93,                0.47027,                0.51464,                 1.0289,                0.82547,                0.73918,                0.81982,                0.60777,                0.97472,                0.98168,                 1.3811,               0.000892,               0.000892,               0.000892
                     94,                0.48522,                0.54284,                 1.0133,                0.84504,                0.73918,                0.82183,                0.61424,                0.96157,                0.95205,                 1.3736,               0.000793,               0.000793,               0.000793
                     95,                0.46014,                0.51311,                 1.0017,                0.81926,                0.75023,                0.82226,                0.61818,                0.93759,                0.93735,                 1.3563,               0.000694,               0.000694,               0.000694
                     96,                0.47766,                0.48879,                 1.0239,                0.87426,                0.71898,                0.82069,                 0.6098,                0.93949,                0.96394,                 1.3609,               0.000595,               0.000595,               0.000595
                     97,                0.46124,                0.48284,                0.99714,                0.86792,                 0.7295,                0.82869,                0.62257,                0.91427,                0.93586,                 1.3436,               0.000496,               0.000496,               0.000496
                     98,                0.46894,                0.49337,                 1.0151,                0.88822,                 0.7109,                0.83063,                0.62303,                0.90547,                0.93803,                  1.336,               0.000397,               0.000397,               0.000397
                     99,                0.45412,                0.47252,                 1.0018,                 0.8908,                0.71717,                0.82969,                0.62677,                0.90525,                0.94731,                  1.334,               0.000298,               0.000298,               0.000298
